pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Game_Date
CH,2022-07-17,86.5,-2.2,4.98,"García, Avisaíl",541645,605400,NA,foul,NA,NA,NA,NA,13,Avisail Garcia strikes out swinging.,R,R,R,MIA,PHI,S,NA,NA,1,1,2022,-1.19,1.07,-0.9,2.52,NA,NA,NA,0,8,Bot,NA,NA,NA,NA,592663,NA,NA,5.56372268100747,-125.800773711012,-1.79973437564166,-13.7394180242679,27.9918368594654,-20.6694259387385,3.46,1.74,5,92.6,-27,86.9,1519,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.68,NA,NA,NA,NA,NA,NA,NA,57,3,Changeup,0,4,0,4,4,0,0,4,Standard,Standard,249,0,-0.053,2022-07-17
FF,2022-07-17,93.2,-1.9,5.07,"García, Avisaíl",541645,605400,NA,ball,NA,NA,NA,NA,14,Avisail Garcia strikes out swinging.,R,R,R,MIA,PHI,B,NA,NA,0,1,2022,-1.03,1.25,1.18,2.45,NA,NA,NA,0,8,Bot,NA,NA,NA,NA,592663,NA,NA,10.246892459798,-135.272098660808,-3.64640021767161,-15.0196816125469,31.6103219042726,-16.2975084717268,3.67,1.88,NA,NA,NA,93.4,2215,6.7,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.8,NA,NA,NA,NA,NA,NA,NA,57,2,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,228,0,0.025,2022-07-17
FF,2022-07-17,91.5,-1.9,5.13,"García, Avisaíl",541645,605400,NA,foul,NA,NA,NA,NA,3,Avisail Garcia strikes out swinging.,R,R,R,MIA,PHI,S,NA,NA,0,0,2022,-0.81,1.4,0.37,3.05,NA,NA,NA,0,8,Bot,NA,NA,NA,NA,592663,NA,NA,7.5453004599684,-132.950064891727,-2.32353037412822,-11.3418732121922,32.1847986642523,-15.4172300609086,3.46,1.74,231,88,55,91.7,2214,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.7,NA,NA,NA,NA,NA,NA,NA,57,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,224,0,-0.033,2022-07-17
KC,2022-07-17,79.5,-1.88,5.18,"Soler, Jorge",624585,605400,strikeout,called_strike,NA,NA,NA,NA,7,Jorge Soler called out on strikes.,R,R,R,MIA,PHI,S,2,NA,1,2,2022,1.21,-1.02,-0.43,1.89,NA,NA,NA,2,7,Bot,NA,NA,NA,NA,592663,NA,NA,0.886591139285479,-115.611118089688,1.62715402327401,10.5193741624795,25.9313843479283,-41.7871491587535,3.4,1.63,NA,NA,NA,78.9,2616,6.4,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,54.1,NA,NA,0,1,0,0,NA,53,4,Knuckle Curve,0,4,0,4,4,0,0,4,Infield shift,Standard,52,-0.005,-0.072,2022-07-17
SI,2022-07-17,93.2,-1.95,5.09,"Soler, Jorge",624585,605400,NA,foul,NA,NA,NA,NA,2,Jorge Soler called out on strikes.,R,R,R,MIA,PHI,S,NA,NA,1,1,2022,-1.41,0.7,0.23,3.33,NA,NA,NA,2,7,Bot,NA,NA,NA,NA,592663,NA,NA,8.7697197338685,-135.530349807483,-0.292999699176383,-19.2629106924726,29.6638101748884,-23.6493785791878,3.61,1.73,302,88,24,93.9,2108,6.7,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.75,NA,NA,NA,NA,NA,NA,NA,53,3,Sinker,0,4,0,4,4,0,0,4,Infield shift,Standard,228,0,-0.023,2022-07-17
FF,2022-07-17,93.9,-1.81,5.12,"Soler, Jorge",624585,605400,NA,foul,NA,NA,NA,NA,2,Jorge Soler called out on strikes.,R,R,R,MIA,PHI,S,NA,NA,1,0,2022,-1,1.18,-0.25,3.39,NA,NA,NA,2,7,Bot,NA,NA,NA,NA,592663,NA,NA,6.35785027890892,-136.62492210864,-1.31846340462179,-14.014176593955,32.9864249598758,-17.4616812614392,3.61,1.73,88,83,80,94.8,2377,7,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.48,NA,NA,NA,NA,NA,NA,NA,53,2,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shift,Standard,224,0,-0.021,2022-07-17
CH,2022-07-17,86.4,-1.94,4.91,"Soler, Jorge",624585,605400,NA,ball,NA,NA,NA,NA,13,Jorge Soler called out on strikes.,R,R,R,MIA,PHI,B,NA,NA,0,0,2022,-1.39,0.22,-0.07,1.24,NA,NA,NA,2,7,Bot,NA,NA,NA,NA,592663,NA,NA,7.39164268692266,-125.463299589043,-2.88895171725421,-16.2173959310207,28.1571852377272,-29.4591270806552,3.49,1.68,NA,NA,NA,87.1,1493,7.1,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.39,NA,NA,NA,NA,NA,NA,NA,53,1,Changeup,0,4,0,4,4,0,0,4,Infield shift,Standard,256,0,0.016,2022-07-17
CH,2022-07-17,86.6,-1.83,5.03,"De La Cruz, Bryan",650559,605400,field_out,hit_into_play,NA,NA,NA,NA,13,"Bryan De La Cruz grounds out, third baseman Alec Bohm to first baseman Johan Camargo.",R,R,R,MIA,PHI,X,5,ground_ball,1,2,2022,-0.94,0.57,-0.21,1.28,NA,NA,NA,1,7,Bot,90.19,159.08,NA,NA,592663,NA,NA,5.8185521503889,-125.884914191615,-3.84470377505308,-11.2675387520493,28.7702088678963,-25.5171349374991,3.54,1.76,5,96,-12,86.4,1551,6.5,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.99,0.197,0.191,0,1,0,0,2,52,4,Changeup,0,4,0,4,4,0,0,4,Standard,Standard,253,-0.01,-0.115,2022-07-17
FF,2022-07-17,92.5,-1.76,5.16,"De La Cruz, Bryan",650559,605400,NA,ball,NA,NA,NA,NA,12,"Bryan De La Cruz grounds out, third baseman Alec Bohm to first baseman Johan Camargo.",R,R,R,MIA,PHI,B,NA,NA,0,2,2022,-1.2,1.28,1.01,3.19,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,592663,NA,NA,9.76979210574146,-134.214939439628,-1.95105537851901,-16.7397374749526,32.4730970122503,-16.5315714708077,3.52,1.71,NA,NA,NA,92.9,2274,7,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.54,NA,NA,NA,NA,NA,NA,NA,52,3,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,226,0,0.011,2022-07-17
KC,2022-07-17,79.4,-1.84,5.16,"De La Cruz, Bryan",650559,605400,NA,swinging_strike,NA,NA,NA,NA,14,"Bryan De La Cruz grounds out, third baseman Alec Bohm to first baseman Johan Camargo.",R,R,R,MIA,PHI,S,NA,NA,0,1,2022,1.08,-0.94,1.17,1.44,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,592663,NA,NA,4.5951633876599,-115.484447312311,0.523087411316288,8.55199283832088,24.7788558876278,-40.8451792110473,3.54,1.76,NA,NA,NA,79.6,2646,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.73,NA,NA,NA,NA,NA,NA,NA,52,2,Knuckle Curve,0,4,0,4,4,0,0,4,Infield shift,Standard,54,0,-0.031,2022-07-17
